N,D,bonus,condition,seed,update,eat0,eat1,selectivity,zaps,ret
12,100,2,none,0,0,59.73828125,61.515625,0.0,40.12890625,-6.647102355957031
12,100,2,none,0,1,61.44140625,61.32421875,0.0,40.125,-7.08935546875
12,100,2,none,0,2,62.30078125,62.23828125,0.0,39.97265625,-7.094661235809326
12,100,2,none,0,3,63.5859375,63.46875,0.0,40.0234375,-7.071256637573242
12,100,2,none,0,4,63.91796875,63.796875,0.0,40.29296875,-7.191438674926758
12,100,2,none,0,5,64.96875,65.08203125,0.0,40.73046875,-7.298762321472168
12,100,2,none,0,6,67.28515625,66.5625,0.0,40.1796875,-7.541796684265137
12,100,2,none,0,7,67.9375,68.15625,0.0,40.3203125,-7.627148628234863
12,100,2,none,0,8,68.37109375,69.75390625,0.0,40.54296875,-7.586067199707031
12,100,2,none,0,9,69.95703125,70.71875,0.0,40.4609375,-7.701432704925537
12,100,2,none,0,10,70.94140625,72.76171875,0.0,40.265625,-7.638899803161621
12,100,2,none,0,11,72.15625,74.8671875,0.0,40.5234375,-7.718489646911621
12,100,2,none,0,12,72.25,77.00390625,0.0,41.47265625,-7.501887798309326
12,100,2,none,0,13,73.80078125,77.49609375,0.0,41.28125,-7.967057228088379
12,100,2,none,0,14,73.92578125,79.00390625,0.0,42.3125,-7.5835280418396
12,100,2,none,0,15,74.97265625,80.984375,0.0,42.2421875,-7.702571392059326
12,100,2,none,0,16,75.38671875,81.85546875,0.0,42.94921875,-7.992415428161621
12,100,2,none,0,17,76.5,82.984375,0.0,43.21484375,-7.9951491355896
12,100,2,none,0,18,75.9453125,84.34765625,0.0,43.75,-7.640364646911621
12,100,2,none,0,19,77.93359375,83.96875,0.0,43.15625,-8.219466209411621
12,100,2,none,0,20,78.1484375,85.10546875,0.0,42.9609375,-8.028255462646484
12,100,2,none,0,21,79.7109375,85.69140625,0.0,42.56640625,-8.286262512207031
12,100,2,none,0,22,79.515625,86.70703125,0.0,42.78125,-8.147818565368652
12,100,2,none,0,23,80.30859375,86.36328125,0.0,42.609375,-8.092317581176758
12,100,2,none,0,24,80.2421875,86.359375,0.0,43.6328125,-8.3984375
12,100,2,none,0,25,79.2109375,86.21484375,0.0,44.1171875,-8.13720703125
12,100,2,none,0,26,79.80859375,86.25390625,0.0,43.9609375,-8.324999809265137
12,100,2,none,0,27,80.48046875,86.87890625,0.0,43.51171875,-8.275846481323242
12,100,2,none,0,28,79.9140625,87.015625,0.0,44.234375,-8.157258987426758
